Grupo	Código	Parroquia Base	Región	Código	Provincia	Código	Cantón	Código	Parroquia
56			Sierra	04	Carchi	0401	Tulc?n	040157	Tufi±o
56			Sierra	04	Carchi	0401	Tulc?n	040158	Urbina (Taya)
56			Sierra	04	Carchi	0401	Tulc?n	040153	Julio Andrade (Orejuela)
57	080259	Santo Domingo de Onzole	Costa	08	Esmeraldas	0802	Eloy Alfaro	080259	Santo Domingo de Onzole
58			Sierra	04	Carchi	0401	Tulc?n	040157	Tufi±o
58			Sierra	04	Carchi	0403	Espejo	040352	La Libertad (Alizo)
58									
59			Sierra	04	Carchi	0401	Tulc?n	040150	Tulcßn
59			Sierra	04	Carchi	0401	Tulc?n	040158	Urbina (Taya)
59			Sierra	04	Carchi	0401	Tulc?n	040153	Julio Andrade (Orejuela)
59									
60			Costa	08	Esmeraldas	0803	Muisne	080353	Galera
60			Costa	08	Esmeraldas	0803	Muisne	080356	San Francisco
60			Costa	08	Esmeraldas	0803	Muisne	080354	Quingue (Olmedo Perdomo Franco)
60									
61			Sierra	10	Imbabura	1001	Ibarra	100153	Carolina
61			Sierra	04	Carchi	0404	Mira	040451	Concepci¾n
62			Costa	08	Esmeraldas	0806	Atacames	080653	Tonchigue
62			Costa	08	Esmeraldas	0803	Muisne	080356	San Francisco
63	100652	La Merced De Buenos Aires	Sierra	10	Imbabura	1006	Urcuqui	100652	La Merced De Buenos Aires
64			Sierra	04	Carchi	0401	Tulc?n	040154	Maldonado
64			Sierra	04	Carchi	0401	Tulc?n	040157	Tufi±o
64			Sierra	04	Carchi	0403	Espejo	040352	La Libertad (Alizo)
64			Sierra	04	Carchi	0403	Espejo	040350	El Angel
65			Costa	08	Esmeraldas	0807	R¦o Verde	080752	Chumunde
65			Costa	08	Esmeraldas	0801	Esmeraldas	080159	Majua
65			Costa	08	Esmeraldas	0804	Quininde	080454	Viche
65			Costa	08	Esmeraldas	0804	Quininde	080452	Chura (Chancama)(cab. en el Yerbero)
66	080153	Crnel. Carlos Concha Torres (cab. en Huele)	Costa	08	Esmeraldas	0801	Esmeraldas	080153	Crnel. Carlos Concha Torres (cab. en Huele)
67			Sierra	04	Carchi	0401	Tulc?n	040150	Tulcßn
67			Sierra	04	Carchi	0401	Tulc?n	040153	Julio Andrade (Orejuela)
67			Sierra	04	Carchi	0406	San Pedro De Huaca	040650	Huaca
67									
68			Costa	08	Esmeraldas	0803	Muisne	080353	Galera
68			Costa	08	Esmeraldas	0803	Muisne	080356	San Francisco
68			Costa	08	Esmeraldas	0803	Muisne	080354	Quingue (Olmedo Perdomo Franco)
68									
69			Sierra	04	Carchi	0403	Espejo	040352	La Libertad (Alizo)
69			Sierra	04	Carchi	0403	Espejo	040350	El Angel
69			Sierra	04	Carchi	0404	Mira	040451	Concepci¾n
69			Sierra	04	Carchi	0403	Espejo	040353	San Isidro
69			Sierra	04	Carchi	0404	Mira	040450	Mira (Chontahuasi)
70			Sierra	04	Carchi	0403	Espejo	040351	El Goaltal
70			Sierra	10	Imbabura	1001	Ibarra	100153	Carolina
70			Sierra	04	Carchi	0404	Mira	040451	Concepci¾n
71			Sierra	04	Carchi	0401	Tulc?n	040150	Tulcßn
71			Sierra	04	Carchi	0401	Tulc?n	040153	Julio Andrade (Orejuela)
71			Sierra	04	Carchi	0405	Montufar	040552	Chitan De Navarrete
71			Sierra	04	Carchi	0401	Tulc?n	040161	Santa Martha de Cuba
71			Sierra	04	Carchi	0405	Montufar	040550	San Gabriel
71			Sierra	04	Carchi	0401	Tulc?n	040155	Pioter
71			Sierra	04	Carchi	0405	Montufar	040551	Cristobal Col¾n
72			Sierra	04	Carchi	0401	Tulc?n	040150	Tulcßn
72			Sierra	04	Carchi	0401	Tulc?n	040153	Julio Andrade (Orejuela)
72			Sierra	04	Carchi	0405	Montufar	040552	Chitan De Navarrete
72			Sierra	04	Carchi	0401	Tulc?n	040161	Santa Martha de Cuba
72			Sierra	04	Carchi	0401	Tulc?n	040155	Pioter
72			Sierra	04	Carchi	0405	Montufar	040551	Cristobal Col¾n
72			Sierra	04	Carchi	0406	San Pedro De Huaca	040650	Huaca
72			Sierra	04	Carchi	0406	San Pedro De Huaca	040651	Mariscal Sucre
72			Sierra	04	Carchi	0405	Montufar	040553	Fernandez Salvador
73			Sierra	04	Carchi	0405	Montufar	040550	San Gabriel
73			Sierra	04	Carchi	0405	Montufar	040551	Cristobal Col¾n
73			Sierra	04	Carchi	0405	Montufar	040554	La Paz
74			Sierra	04	Carchi	0401	Tulc?n	040150	Tulcßn
74			Sierra	04	Carchi	0401	Tulc?n	040153	Julio Andrade (Orejuela)
74			Sierra	04	Carchi	0405	Montufar	040552	Chitan De Navarrete
74			Sierra	04	Carchi	0401	Tulc?n	040161	Santa Martha de Cuba
74			Sierra	04	Carchi	0401	Tulc?n	040155	Pioter
74			Sierra	04	Carchi	0405	Montufar	040551	Cristobal Col¾n
74			Sierra	04	Carchi	0406	San Pedro De Huaca	040650	Huaca
75			Costa	08	Esmeraldas	0804	Quininde	080454	Viche
75			Costa	08	Esmeraldas	0804	Quininde	080451	Cube
75			Costa	08	Esmeraldas	0804	Quininde	080452	Chura (Chancama)(cab. en el Yerbero)
76			Sierra	04	Carchi	0401	Tulc?n	040153	Julio Andrade (Orejuela)
76			Sierra	04	Carchi	0401	Tulc?n	040155	Pioter
76			AmazonÝa	21	Sucumbios	2105	Sucumbios	210551	El Playon de San Francisco
76									
77			Sierra	04	Carchi	0405	Montufar	040552	Chitan De Navarrete
77			Sierra	04	Carchi	0401	Tulc?n	040161	Santa Martha de Cuba
77			Sierra	04	Carchi	0405	Montufar	040550	San Gabriel
77			Sierra	04	Carchi	0401	Tulc?n	040155	Pioter
77			Sierra	04	Carchi	0405	Montufar	040551	Cristobal Col¾n
77			Sierra	04	Carchi	0406	San Pedro De Huaca	040650	Huaca
78			Sierra	04	Carchi	0401	Tulc?n	040153	Julio Andrade (Orejuela)
78			Sierra	04	Carchi	0401	Tulc?n	040161	Santa Martha de Cuba
78			Sierra	04	Carchi	0401	Tulc?n	040155	Pioter
78			Sierra	04	Carchi	0406	San Pedro De Huaca	040650	Huaca
78			AmazonÝa	21	Sucumbios	2105	Sucumbios	210551	El Playon de San Francisco
78			Sierra	04	Carchi	0406	San Pedro De Huaca	040651	Mariscal Sucre
78			Sierra	04	Carchi	0405	Montufar	040553	Fernandez Salvador
79			Costa	08	Esmeraldas	0803	Muisne	080350	Muisne
79			Costa	08	Esmeraldas	0803	Muisne	080357	San Gregorio
79									
80			Sierra	04	Carchi	0403	Espejo	040350	El Angel
80			Sierra	04	Carchi	0403	Espejo	040353	San Isidro
80			Sierra	04	Carchi	0404	Mira	040450	Mira (Chontahuasi)
80			Sierra	04	Carchi	0402	Bolivar	040251	Garcia Moreno
81			AmazonÝa	21	Sucumbios	2105	Sucumbios	210551	El Playon de San Francisco
81			Sierra	04	Carchi	0405	Montufar	040553	Fernandez Salvador
82	080357	San Gregorio	Costa	08	Esmeraldas	0803	Muisne	080357	San Gregorio
83			Sierra	04	Carchi	0403	Espejo	040353	San Isidro
83			Sierra	04	Carchi	0404	Mira	040450	Mira (Chontahuasi)
83			Sierra	04	Carchi	0404	Mira	040453	Juan Montalvo (San Ignacio de Quil)
83			Sierra	04	Carchi	0402	Bolivar	040251	Garcia Moreno
83			Sierra	04	Carchi	0402	Bolivar	040254	San Vicente de Pusir
84			Galßpagos	20	Gal?pagos	2003	Bellavista	200351	Isla Pinta (Abigdon)
84									
85			AmazonÝa	21	Sucumbios	2105	Sucumbios	210551	El Playon de San Francisco
85			AmazonÝa	21	Sucumbios	2105	Sucumbios	210554	Santa Barbara
85			AmazonÝa	21	Sucumbios	2105	Sucumbios	210550	La Bonita
85									
86	080451	Cube	Costa	08	Esmeraldas	0804	Quininde	080451	Cube
